shot_x,shot_y,shot_type,shot_distance_feet,very left or very right shot,left or right shot,rebound_x,rebound_y,rebound_distance_feet,left or right rebound,weak or strong rebound
213,491,2PA,7.72,very left,left,285,518,2.55,left,strong
304,509,2PA,2.71,left,left,319,528,1.64,right,N/A
276,245,3PA,21.57,left,left,439,533,9.51,right,N/A
362,522,2PA,4.36,right,right,346,512,3.78,right,N/A
413,253,3PA,22.24,very right,right,492,526,13.31,right,strong
391,250,3PA,21.96,very right,right,321,503,3.30,right,strong
457,533,2PA,10.78,very right,right,245,530,4.50,left,weak
302,473,2PA,5.27,left,left,287,498,3.74,left,N/A
303,241,3PA,21.75,left,left,222,517,6.34,left,N/A
77,357,3PA,21.15,very left,left,341,515,3.37,right,weak
322,518,2PA,2.35,right,right,337,533,2.42,right,N/A
243,505,2PA,5.38,left,left,351,508,4.23,right,N/A
524,506,2PA,15.77,very right,right,347,508,4.02,right,strong
263,529,2PA,3.31,left,left,276,524,2.69,left,N/A
338,528,2PA,2.65,right,right,309,522,1.79,right,N/A
434,277,3PA,21.24,very right,right,457,547,10.73,right,strong
494,319,3PA,21.01,very right,right,329,509,3.16,right,strong
49,492,2PA,18.68,very left,left,394,467,8.45,right,weak
340,310,2PA,17.02,right,right,344,504,4.08,right,N/A
259,508,2PA,4.34,left,left,334,519,2.82,right,N/A
157,536,2PA,10.62,very left,left,246,495,5.64,left,strong
68,387,3PA,20.39,very left,left,444,556,9.83,right,weak
478,484,2PA,13.02,very right,right,269,516,3.43,left,weak
137,496,2PA,12.55,very left,left,354,512,4.22,right,weak
383,500,2PA,6.41,very right,right,330,520,2.57,right,strong
345,485,2PA,5.21,right,right,346,512,3.78,right,N/A
426,360,2PA,15.80,very right,right,275,508,3.54,left,weak
451,283,3PA,21.41,very right,right,273,491,4.62,left,weak
583,499,3PA,19.99,very right,right,237,510,5.57,left,weak
358,491,2PA,5.43,right,right,268,509,3.82,left,N/A
193,500,2PA,8.70,very left,left,280,534,2.07,left,strong
413,485,2PA,8.79,very right,right,343,517,3.39,right,strong
306,238,3PA,21.97,right,right,301,513,2.44,left,N/A
294,429,2PA,8.43,left,left,277,498,4.05,left,N/A
45,413,3PA,20.86,very left,left,337,500,4.00,right,weak
280,252,3PA,21.05,left,left,311,466,5.77,right,N/A
558,406,3PA,20.53,very right,right,242,481,6.54,left,weak
50,400,3PA,20.99,very left,left,397,472,8.38,right,weak
153,428,2PA,13.78,very left,left,403,494,7.86,right,weak
144,525,2PA,11.62,very left,left,224,521,6.12,left,strong
243,248,3PA,21.72,left,left,342,450,7.36,right,N/A
281,314,2PA,16.66,left,left,338,434,8.35,right,N/A
195,255,3PA,22.21,very left,left,258,518,3.99,left,strong
290,238,3PA,22.00,left,left,275,501,3.94,left,N/A
473,258,3PA,23.73,very right,right,247,288,18.88,left,weak
142,277,3PA,22.46,very left,left,79,475,16.93,left,strong
526,346,3PA,21.18,very right,right,298,489,4.16,left,weak
475,386,2PA,16.59,very right,right,275,497,4.18,left,weak
309,327,2PA,15.64,right,right,241,500,5.70,left,N/A
102,329,3PA,21.22,very left,left,205,522,7.40,left,strong
257,453,2PA,7.54,left,left,307,498,3.48,right,N/A
316,478,2PA,4.96,right,right,323,501,3.49,right,N/A
111,300,3PA,22.37,very left,left,132,411,15.70,left,strong
304,477,2PA,4.98,left,left,299,491,4.01,left,N/A
380,500,2PA,6.23,very right,right,307,493,3.84,right,strong
415,462,2PA,9.83,very right,right,276,529,2.49,left,weak
