c_rebound_x,c_rebound_y,rebound_distance_feet
285,518,2.545381107578411
319,528,1.6366157961926073
439,533,9.507214138990495
346,512,3.77848784812843
492,526,13.306758048176158
321,503,3.304731554266197
245,530,4.501746028148123
287,498,3.7361184862950463
222,517,6.340977190799363
341,515,3.3713475928093013
337,533,2.4181068272552064
351,508,4.233291449561916
347,508,4.022716877003348
276,524,2.687354242384237
309,522,1.790001655736612
457,547,10.734597156398104
329,509,3.157710755617935
394,467,8.454636254399151
344,504,4.079478692531822
334,519,2.815022256856398
246,495,5.644388599415889
444,556,9.831267786212793
269,516,3.43152181596602
354,512,4.223131774486961
330,520,2.5681125878940914
346,512,3.77848784812843
275,508,3.5416830446676255
273,491,4.62085308056872
237,510,5.565946672340298
268,509,3.8203873485908257
280,534,2.0665083204381944
343,517,3.386304842790868
301,513,2.4430578593515992
277,498,4.0477651693327275
337,500,4.00256538206424
311,466,5.769254094390564
242,481,6.535646408281253
397,472,8.383201716686976
403,494,7.857942818286455
224,521,6.11539710927201
342,450,7.355329614978127
338,434,8.349071337934854
258,518,3.9867511543535414
275,501,3.9434156156470133
247,288,18.884010998369405
79,475,16.929733213186246
298,489,4.1622600478590845
275,497,4.1822462786965104
241,500,5.702290416157955
205,522,7.396781930030084
307,498,3.4841376554055485
323,501,3.486312749357127
132,411,15.699798783997188
299,491,4.012023997968473
307,493,3.8395207439973773
276,529,2.4871358793179006
196,487,8.907557407209717
280,500,3.8184025598092277
346,508,3.971510253117561
343,522,3.174471122525987
198,461,9.814546837207006
343,535,2.7652109486412404
324,486,4.521349369523558
319,457,6.4645053576166305
312,485,4.4281738869376595
447,440,12.583139206366033
478,499,12.694700067611212
279,512,3.1424695884313283
248,500,5.307051783650912
391,434,10.052142756586134
353,529,3.5778851750222613
211,517,7.082295798046662
293,514,2.5214428224125403
470,527,11.745142992263535
336,499,4.023972994716087
349,513,3.897005708151397
326,522,2.2759920275235244
349,513,3.897005708151397
370,529,4.726285347467677
258,522,3.8474101785027894
334,496,4.13607247614849
353,529,3.5778851750222613
321,495,3.8474101785027894
387,526,5.948669721745601
358,515,4.340569911603909
190,476,9.668507802433421
341,500,4.16590103999534
357,526,3.920923857764268
238,522,5.150472707112784
300,505,3.0160952752032832
339,496,4.318391246015386
333,514,3.031138237724338
253,526,4.052756250352386
348,511,3.9325071144851176
312,471,5.4196545647050005
360,515,4.462280993310488
290,524,1.9917903876002703
287,503,3.4071346823663773
353,506,4.433876624505975
349,522,3.5359706489419587
328,535,1.7815114814419433
258,502,4.677379379032033
345,509,3.8709820066526963
346,525,3.2453210077289083
412,460,9.74867231657421
208,492,7.989015897720965
291,510,2.8382651342668908
447,539,10.039817630400762
282,539,1.798451749858794
327,487,4.519113291558147
279,511,3.199052132701422
253,518,4.294921554595227
356,499,4.927314725449325
353,502,4.6257720810419265
343,509,3.7704542008083752
328,499,3.7536622130172757
367,316,16.98472010264013
307,493,3.8395207439973773
338,473,5.731462854240675
302,503,3.1408609527546716
290,494,3.9357186357345237
285,512,2.901658525870884
394,445,9.57686111035957
344,513,3.6248953888100366
294,518,2.231140496655244
353,511,4.208746952307778
261,499,4.677379379032033
273,518,3.1231112753301606
426,526,8.660448556313867
306,485,4.407582938388626
279,515,2.9764580211552114
297,498,3.5416830446676255
362,477,6.372777677065868
337,515,3.1672989682386916
330,499,3.8150922838858974
349,513,3.897005708151397
212,507,7.262327652581309
255,522,4.037764498908889
249,478,6.362459953155767
282,506,3.3773384417686363
342,494,4.554758809376687
232,508,5.946545424380522
271,451,7.264067173948703
275,518,3.0177704185011076
354,504,4.5813109438060735
286,522,2.2759920275235244
356,518,4.109103132687704
299,508,2.816816979548666
224,510,6.395339054897506
272,509,3.6248953888100366
278,511,3.242205000281909
313,492,3.9414927797997477
297,510,2.7070283551648964
266,512,3.77848784812843
336,500,3.963867827331938
369,518,4.930390772815081
306,498,3.4834123222748814
320,512,2.6798213495219096
336,519,2.917291639149269
320,518,2.2892761404888082
230,464,8.00039446703851
295,532,1.3223513202183608
225,513,6.245008788453573
304,369,12.654827175387657
434,398,13.96426417106579
286,497,3.828316213602728
277,531,2.3545727718027294
284,523,2.3145242553696264
387,511,6.301401911101774
348,519,3.5884633547271934
341,510,3.620710401397207
285,527,2.061611374407583
288,523,2.132701421800948
264,522,3.474696514649271
309,494,3.7738036322237907
291,512,2.7070283551648964
175,523,9.467795891787006
371,519,5.031347567550852
299,507,2.8868161854379553
216,505,7.060498019678751
270,526,2.962843504858963
284,516,2.702357034419177
139,411,15.310789449886657
307,507,2.8444903825226384
306,467,5.687203791469194
335,514,3.1231112753301606
300,498,3.5094298712409904
294,503,3.242205000281909
328,489,4.4098755694608975
245,500,5.474395253510461
270,521,3.156910423389742
256,511,4.379977763246265
252,518,4.35741978788302
279,519,2.7652109486412404
340,518,3.1768582423939806
206,514,7.486089163436165
419,474,9.563659288431285
379,510,5.81810259685596
427,513,8.9350320123691
396,541,6.412306512102188
382,513,5.918860179099142
361,502,5.051897062873896
249,454,7.754356903520407
142,508,11.983892853432618
266,522,3.3533108289300726
316,509,2.7933956451737205
251,518,4.420177693851132
334,510,3.2986088411716157
282,510,3.1352242281326936
183,519,8.967777721560338
332,506,3.4513467565701483
280,503,3.633250902136674
284,444,7.487439224612774
302,506,2.9285303209544047
370,498,5.730140056318475
319,491,4.086904934162505
206,476,8.718608155218188
330,514,2.9007875492563744
274,497,4.220138979996919
359,490,5.5331626698455105
316,509,2.7933956451737205
282,505,3.438877712544405
321,495,3.8474101785027894
359,510,4.595079415504922
271,514,3.4197194703712874
320,502,3.3502952610279184
297,507,2.9146919431279623
320,498,3.622803499404997
263,522,3.5359706489419587
217,508,6.907816649570732
288,493,4.046516437182286
231,464,7.952558620194092
309,505,2.9933890907242606
283,525,2.262629923626476
267,493,4.735365635084613
285,486,4.586272355342932
273,511,3.4717863830544395
295,515,2.4055342628941183
411,478,8.931920583997504
365,510,4.950848913691038
323,505,3.22109310688413
305,481,4.692481658021587
253,493,5.378938134036098
348,498,4.587924966899305
335,473,5.650205482468327
339,500,4.08257460152452
279,512,3.1424695884313283
367,504,5.305623172619514
312,503,3.156910423389742
412,486,8.694228510788767
345,514,3.6318596515008914
237,507,5.66984911324846
300,473,5.2779273535366595
285,513,2.840934768154704
333,484,4.872651039296814
238,485,6.541829613456308
337,487,4.801078863953473
247,466,7.123918006765739
243,461,7.578679194840765
245,522,4.686554423843463
264,499,4.5341854177541165
348,528,3.2770892620709318
274,503,3.8677167323418327
326,514,2.7431916656267403
268,503,4.133016640876389
342,477,5.595829949048653
287,494,4.00256538206424
258,502,4.677379379032033
283,498,3.8480669012486324
233,495,6.371588023153559
292,487,4.379977763246265
328,508,3.1832151436831437
278,514,3.0766471575899152
277,506,3.5701079230776456
364,501,5.262584509001445
341,518,3.231275311098629
275,517,3.066775536984312
335,518,2.9155587660298403
292,503,3.282482383113326
402,440,10.219426125538916
