c_shot_x,c_shot_y,shot_type,shot_distance_feet
213,491,2PA,7.717445961614271
304,509,2PA,2.705160794849353
276,245,3PA,21.574863146614693
362,522,2PA,4.359738798046056
413,253,3PA,22.24164354889023
391,250,3PA,21.961417454412963
457,533,2PA,10.780636340145923
302,473,2PA,5.268343311938078
303,241,3PA,21.754599919123155
77,357,3PA,21.153440589794517
322,518,2PA,2.3545727718027294
243,505,2PA,5.3826950320907905
524,506,2PA,15.769336543527215
263,529,2PA,3.3138944134995256
338,528,2PA,2.645657924065649
434,277,3PA,21.242010694632715
494,319,3PA,21.008041213949436
49,492,2PA,18.68383859561549
340,310,2PA,17.0208339722458
259,508,2PA,4.341734071450939
157,536,2PA,10.621243259739465
68,387,3PA,20.387356441888656
478,484,2PA,13.021903786026408
137,496,2PA,12.549356746619978
383,500,2PA,6.413094603607911
345,485,2PA,5.207073007743125
426,360,2PA,15.79559423942382
451,283,3PA,21.412270349817142
583,499,3PA,19.985408864032426
358,491,2PA,5.432693793708853
193,500,2PA,8.700329826473158
413,485,2PA,8.791341448465735
306,238,3PA,21.966824644549764
294,429,2PA,8.43189099707075
45,413,3PA,20.857025154709174
280,252,3PA,21.052858739888933
558,406,3PA,20.528289811848012
50,400,3PA,20.98601799273918
153,428,2PA,13.779371251198112
144,525,2PA,11.622298758873445
243,248,3PA,21.722633911672766
281,314,2PA,16.659054287545747
195,255,3PA,22.207534066266188
290,238,3PA,21.996253236472498
473,258,3PA,23.72853309720445
142,277,3PA,22.457704907048168
526,346,3PA,21.184476284391543
475,386,2PA,16.593397795063296
309,327,2PA,15.64126447355404
102,329,3PA,21.224873895836517
257,453,2PA,7.535880346648176
316,478,2PA,4.956460098640766
111,300,3PA,22.371801850213174
304,477,2PA,4.978334047396663
380,500,2PA,6.232047282637852
415,462,2PA,9.826383067146121
58,400,3PA,20.49478105282368
324,312,2PA,16.755096224067906
200,260,3PA,21.749953237825075
276,516,2PA,3.066775536984312
289,246,3PA,21.432205039644106
343,534,2PA,2.7879627797811724
190,480,2PA,9.523148028615548
404,463,2PA,9.17584993379861
314,456,2PA,6.49414489570196
568,437,3PA,20.20058440815593
402,258,3PA,21.64887461111672
381,497,2PA,6.407970276298559
206,488,2PA,8.254102508228701
314,227,3PA,22.755923060181107
193,533,2PA,8.094593879852013
564,448,3PA,19.64517861546998
349,520,2PA,3.6095267132093185
522,338,3PA,21.36690581988221
284,458,2PA,6.517449318305075
52,388,3PA,21.30294850726033
312,450,2PA,6.90891397027071
558,394,3PA,20.958064576412248
310,245,3PA,21.471077410274855
514,522,2PA,14.893152844919605
326,439,2PA,7.808263630945582
94,344,3PA,20.86623077395361
93,344,3PA,20.91763489303236
598,529,3PA,20.797696810661463
520,348,3PA,20.774477558149695
180,274,3PA,21.374946137118727
129,307,3PA,21.19973870554215
236,507,2PA,5.731462854240675
307,247,3PA,21.327132701092683
276,494,2PA,4.329494780640316
387,455,2PA,8.71396967213123
312,463,2PA,5.986778181448521
22,527,3PA,20.23957495652047
547,372,3PA,21.173141593403205
485,308,3PA,21.227492913215325
17,520,3PA,20.63449091047392
299,460,2PA,6.204821438112596
422,262,3PA,21.874605118577254
334,455,2PA,6.836482623794108
504,461,2PA,15.346232093547089
304,457,2PA,6.399683849247526
590,492,3PA,20.56469318690134
324,219,3PA,23.352620697067003
201,493,2PA,8.393744923572978
305,215,3PA,23.60200279767871
418,373,2PA,14.710659229956255
280,515,2PA,2.931117743330091
542,342,3PA,22.223003518930433
124,424,2PA,15.616041826816254
331,375,2PA,12.355973788939092
419,498,2PA,8.75591615414341
594,487,3PA,20.91352721311495
404,254,3PA,21.963603500084496
88,323,3PA,22.220615556522915
113,519,2PA,13.86401742239673
289,466,2PA,5.883748349732293
127,292,3PA,22.148400614564665
279,509,2PA,3.3138944134995256
346,398,2PA,10.967468757582177
435,282,3PA,20.952397056939844
417,248,3PA,22.67337907218058
341,498,2PA,4.280777976490407
218,258,3PA,21.476372736701673
494,311,3PA,21.449883032014533
358,521,2PA,4.133016640876389
27,490,3PA,20.2438193887694
131,462,2PA,13.830623074651934
532,521,2PA,16.17232174044297
